iso-639-3	name	value	description	latitude	longitude	family
tae	Tariana	B	suffixenclitic	0.440205	-68.904165	Arawakan
teh	Tehuelche	C	none	-47.57963	-68.32346	Chonan
quw	Tena Lowland Quichua	B	suffixenclitic	-0.76271	-77.54039	Quechuan
tri	Trió	B	suffixenclitic	2.53616	-55.759935	Cariban
tpy	Trumai	B	suffixenclitic	-11.81195	-53.5717	Trumai
cof	Tsafiki	B	suffixenclitic	-0.21181	-79.23468	Barbacoan
ura	Urarina	B	suffixenclitic	-4.44006	-75.42107	Urarina
ure	Uru	C	none	-16.72547	-68.97119	Uru-Chipaya
wba	Warao	B	suffixenclitic	7.50850666667	-59.3527633333	Warao
pav	Wari	C	none	-10.69948	-64.56152	Chapacuran
wyr	Wayoró	B	suffixenclitic	-12.69447	-61.30635	Tupian
mtp	Wichí Lhamtés Nocten	C	none	-21.987995	-63.59711	Matacoan
xav	Xavánte	B	suffixenclitic	-14.30173	-52.43669	Nuclear-Macro-Je
yaa	Yaminahua	C	none	-9.88459666667	-71.5964333333	Pano-Tacanan
ame	Yanesha'	C	none	-10.54539	-75.31497	Arawakan
yuz	Yuracaré	C	none	-16.74788	-65.12241	Yurakare
