iso-639-3	name	value	description	latitude	longitude	family
xwa	Kwaza	C	none	-11.6666666667	-61.1833333333	Kwaza
lkd	Lakondê	D	no case	-13.2	-60.5	Nambiquaran
lec	Leco	B	variable	-15.00921	-67.88181	Leko
arw	Lokono	D	no case	5.6429525	-56.924345	Arawakan
mpu	Makuráp	D	no case	-11.87014	-64.32007	Tupian
arn	Mapudungun	D	no case	-38.73917	-71.27701	Araucanian
mcf	Matsés	C	none	-5.739145	-72.628105	Pano-Tacanan
omc	Mochica	D	no case	-8.01666666667	-79.0	Mochica
moc	Mocoví	D	no case	-28.09699	-60.41448	Guaicuruan
cas	Mosetén	D	no case	-14.64448	-67.83756	Moseten-Chimane
mzp	Movima	D	no case	-13.81152	-65.63482	Movima
myu	Mundurukú	D	no case	-8.41095	-57.69099	Tupian
myr	Muniche	D	no case	-5.80546	-76.28113	Muniche
yrl	Nhengatu	D	no case	1.04502666667	-66.9645533333	Tupian
shb	Ninam	C	none	4.038935	-62.780115	Yanomamic
qvn	North Junín Quechua	A	obligatory	-11.21321	-75.81275	Quechuan
emp	Northern Emberá	A	obligatory	7.12761	-77.57396	Chocoan
qvp	Pacaraos Quechua	A	obligatory	-11.14278	-76.73046	Quechuan
pab	Parecís	D	no case	-14.59295	-57.40595	Arawakan
plg	Pilagá	D	no case	-25.00585	-60.15372	Guaicuruan
pui	Puinave	B	variable	3.92974	-67.6886	Puinave
pbb	Páez	A	obligatory	2.61516	-76.31254	Paez
rkb	Rikbaktsa	D	no case	-11.18865	-58.19424	Nuclear-Macro-Je
sae	Sabanê	A	obligatory	-12.98572	-60.33498	Nambiquaran
skf	Sakirabia	D	no case	-13.05395	-62.09274	Tupian
qxl	Salasaca Highland Quichua	A	obligatory	-1.35447	-78.39531	Quechuan
qvs	San Martín Quechua	A	obligatory	-6.9582	-76.6608	Quechuan
qus	Santiago del Estero Quichua	A	obligatory	-27.82096	-63.24657	Quechuan
mav	Sateré-Mawé	D	no case	-3.63897	-56.87489	Tupian
cbt	Shawi	A	obligatory	-5.63764	-76.82525	Cahuapanan
shp	Shipibo-Conibo	A	obligatory	-7.17105	-74.82192	Pano-Tacanan
jiv	Shuar	A	obligatory	-3.45136	-78.18923	Chicham
quh	South Bolivian Quechua	A	obligatory	-20.920095	-66.333145	Quechuan
qup	Southern Pastaza Quechua	A	obligatory	-3.32733	-76.52697	Quechuan
tpj	Tapieté	D	no case	-21.4168866667	-62.68397	Tupian
tae	Tariana	B	variable	0.440205	-68.904165	Arawakan
teh	Tehuelche	B	variable	-47.57963	-68.32346	Chonan
quw	Tena Lowland Quichua	A	obligatory	-0.76271	-77.54039	Quechuan
tri	Trió	D	no case	2.53616	-55.759935	Cariban
tpy	Trumai	A	obligatory	-11.81195	-53.5717	Trumai
cof	Tsafiki	B	variable	-0.21181	-79.23468	Barbacoan
ura	Urarina	D	no case	-4.44006	-75.42107	Urarina
ure	Uru	D	no case	-16.72547	-68.97119	Uru-Chipaya
wba	Warao	D	no case	7.50850666667	-59.3527633333	Warao
pav	Wari	D	no case	-10.69948	-64.56152	Chapacuran
wyr	Wayoró	D	no case	-12.69447	-61.30635	Tupian
mtp	Wichí Lhamtés Nocten	D	no case	-21.987995	-63.59711	Matacoan
xav	Xavánte	D	no case	-14.30173	-52.43669	Nuclear-Macro-Je
yaa	Yaminahua	A	obligatory	-9.88459666667	-71.5964333333	Pano-Tacanan
ame	Yanesha'	D	no case	-10.54539	-75.31497	Arawakan
yuz	Yuracaré	D	no case	-16.74788	-65.12241	Yurakare
